Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
6777.2	3421.539795
6778	3457.04834
6778.8	3556.100586
6779.6	3475.740967
6780.4	3357.137939
6781.2	3484.514648
6782	3367.928955
6782.8	3393.048828
6783.6	3395.213379
6784.4	3329.169189
6785.2	3372.516357
6786	3304.272217
6786.8	3323.290039
6787.6	3238.703125
6788.4	3377.199951
6789.2	3378.962891
6790	3320.032227
6790.8	3211.313477
6791.6	3322.570312
6792.4	3331.860107
6793.2	3408.887695
6794	3448.101318
6794.8	3538.121338
6795.6	3496.010742
6796.4	3489.368896
6797.2	3408.351807
6798	3390.036621
6798.8	3415.065918
6799.6	3336.264893
6800.4	3335.216309
6801.2	3375.638184
6802	3322.339111
6802.8	3329.007324
6803.6	3360.470215
6804.4	3420.517334
6805.2	3471.657471
6806	3507.763916
6806.8	3424.697266
6807.6	3355.401367
6808.4	3440.195557
6809.2	3360.188965
6810	3520.272217
6810.8	3536.278809
6811.6	3446.45459
6812.4	3430.699707
6813.2	3413.161621
6814	3351.743164
6814.8	3327.817139
6815.6	3327.064697
6816.4	3393.51416
6817.2	3481.450195
6818	3434.436523
6818.8	3387.467285
6819.6	3453.659668
6820.4	3385.392822
6821.2	3460.431885
6822	3402.099365
6822.8	3387.787598
6823.6	3441.056641
6824.4	3386.766846
6825.2	3440.40625
6826	3360.682373
6826.8	3426.893799
6827.6	3376.518066
6828.4	3397.009277
6829.2	3393.22876
6830	3402.217041
6830.8	3389.741699
6831.6	3366.748535
6832.4	3328.896484
6833.2	3369.479248
6834	3296.172119
6834.8	3385.495117
6835.6	3317.575928
6836.4	3376.556152
6837.2	3455.146973
6838	3385.277832
6838.8	3449.588867
6839.6	3453.437012
6840.4	3393.689697
6841.2	3394.703613
6842	3348.66333
6842.8	3324.775879
6843.6	3324.650391
6844.4	3368.09668
6845.2	3251.151855
6846	3300.817139
6846.8	3331.648926
6847.6	3239.654541
6848.4	3218.883789
6849.2	3239.265137
6850	3250.499756
6850.8	3231.172607
6851.6	3323.987793
6852.4	3173.745117
6853.2	3176.543457
6854	3186.81543
6854.8	3246.527588
6855.6	3233.022461
6856.4	3196.97998
6857.2	3165.139404
6858	3215.666992
6858.8	3328.640869
6859.6	3193.373779
6860.4	3198.611328
6861.2	3181.343262
6862	3284.083496
6862.8	3266.273682
6863.6	3278.36377
6864.4	3308.337891
6865.2	3236.340576
6866	3327.080811
6866.8	3058.009521
6867.6	2438.411377
6868.4	1960.373047
6869.2	1928.083862
6870	2285.879883
6870.8	2343.861572
6871.6	2291.429199
6872.4	2413.345215
6873.2	2421.30542
6874	2511.553223
6874.8	2540.885986
6875.6	2715.761719
6876.4	2766.579346
6877.2	2664.731689
6878	2851.285889
6878.8	2996.449951
6879.6	2987.403564
6880.4	3040.948486
6881.2	3267.870117
6882	3303.329102
6882.8	3272.041992
6883.6	3111.256104
6884.4	3033.962891
6885.2	3152.811523
6886	2837.303955
6886.8	2711.717529
6887.6	3011.564209
6888.4	3130.39502
6889.2	2842.054688
6890	2747.391357
6890.8	3050.708984
6891.6	3197.724854
6892.4	2896.305664
6893.2	2679.426514
6894	2886.927979
6894.8	3226.587646
6895.6	3102.519287
6896.4	2691.458252
6897.2	2722.59375
6898	3128.118408
6898.8	3332.598145
6899.6	3069.056396
6900.4	2725.780762
6901.2	2748.143311
6902	3126.141846
6902.8	3246.468018
6903.6	3244.493652
6904.4	2861.923828
6905.2	2799.039062
6906	3033.807373
6906.8	3334.593262
6907.6	3280.053955
6908.4	3080.849609
6909.2	2904.624268
6910	2979.967041
6910.8	3205.580078
6911.6	3200.734131
6912.4	3258.908447
6913.2	2934.218506
6914	2812.065674
6914.8	3043.072754
6915.6	3135.991699
6916.4	3153.57251
6917.2	3199.881836
6918	2991.431641
6918.8	2907.082031
6919.6	3001.573242
6920.4	3247.810791
6921.2	3224.653076
6922	3269.818359
6922.8	3198.503174
6923.6	3019.916748
6924.4	3043.257568
6925.2	3137.264893
6926	3251.130127
6926.8	3166.535889
6927.6	3258.543213
6928.4	3190.783203
6929.2	3120.05835
6930	3067.536621
