Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
6874	15069.79
6874.8	14867.69
6875.6	14962.31
6876.4	15302.07
6877.2	15797.75
6878	16414.31
6878.8	17157.39
6879.6	16495.6
6880.4	17165.73
6881.2	18033.3
6882	18108.3
6882.8	17693.71
6883.6	17155.68
6884.4	17395.42
6885.2	17847.64
6886	16259.42
6886.8	15843.37
6887.6	16995.14
6888.4	17744.92
6889.2	16263.37
6890	15572.7
6890.8	16840.05
6891.6	18100.2
6892.4	16544.54
6893.2	15278.88
6894	16363.67
6894.8	17429.98
6895.6	17210.39
6896.4	15612.83
6897.2	15627.35
6898	17010.59
6898.8	18023.38
6899.6	17391.89
6900.4	15817.93
6901.2	15984.75
6902	17502.41
6902.8	18180.81
6903.6	17599.74
6904.4	16518.96
6905.2	15964.13
6906	16744.82
6906.8	17629.43
6907.6	18044.15
6908.4	17081.83
6909.2	15889.51
6910	16395.28
6910.8	17635.29
6911.6	17435.42
6912.4	17633.52
6913.2	16795.18
6914	15471.58
6914.8	15530.17
6915.6	17427.88
6916.4	17589.23
6917.2	17236.33
6918	17332.13
6918.8	16745.34
6919.6	17546.38
6920.4	18352.96
6921.2	18283.91
6922	18359.73
6922.8	17945.92
6923.6	17029.09
6924.4	16117.28
6925.2	16804.06
6926	17066.76
6926.8	17413.12
6927.6	17831.35
6928.4	17297.81
6929.2	16726.28
6930	16808.11
6930.8	17063.87
6931.6	17291.69
6932.4	17428.64
6933.2	16865.72
6934	16896.9
6934.8	17814.69
6935.6	18024.21
6936.4	18375.88
6937.2	18259.72
6938	18087.7
6938.8	18013.93
6939.6	18103.62
6940.4	17417.19
6941.2	17626.37
6942	17456.41
6942.8	17103.24
6943.6	17099.89
6944.4	17030.37
6945.2	16380.71
6946	17044.77
6946.8	17504.24
6947.6	16800.93
6948.4	17025.49
6949.2	17836.59
6950	17754.46
6950.8	17269.95
6951.6	16388.79
6952.4	17159.49
6953.2	17088.55
6954	16812.51
6954.8	17338.57
6955.6	17250.46
6956.4	16830.13
6957.2	16750.21
6958	17290.46
6958.8	17560.26
6959.6	17207.79
6960.4	17156.62
6961.2	17220.4
6962	17662.03
6962.8	17975.28
6963.6	17792
6964.4	18142.9
6965.2	17705.1
6966	17533.64
6966.8	18170.4
6967.6	18662.63
6968.4	18560.85
6969.2	18696.08
6970	18498.95
6970.8	18008.06
6971.6	18173.47
6972.4	18325.15
6973.2	18955.77
6974	18954.36
6974.8	18613.35
6975.6	18353.37
6976.4	18003.64
6977.2	17577.05
6978	16971.86
6978.8	16031.61
6979.6	16619.64
6980.4	18098.31
6981.2	18402.44
6982	18229.54
6982.8	18817.1
6983.6	19126.83
6984.4	18933.26
6985.2	18779.81
6986	18532.77
6986.8	17916.48
6987.6	18001.85
6988.4	17560.26
6989.2	17040.39
6990	17401.46
6990.8	17954.5
6991.6	18108.06
6992.4	18088.19
6993.2	17932.11
6994	17650.5
6994.8	17349.7
6995.6	18367.71
6996.4	18631.99
6997.2	18681.88
6998	18590.66
6998.8	17617.84
6999.6	17062.16
7000.4	17118.23
7001.2	17452.67
7002	17930.68
7002.8	18209.26
7003.6	17541.62
7004.4	16788.96
7005.2	16510.63
7006	16614.91
7006.8	17086.46
7007.6	17166.8
7008.4	17465.1
7009.2	17782.2
7010	17750.59
7010.8	17573.4
7011.6	17139.71
7012.4	17555.23
7013.2	17801.91
7014	18415.01
7014.8	18250.44
7015.6	17171.94
7016.4	15251.45
7017.2	15957.6
7018	17844.86
7018.8	18555.27
7019.6	18548.34
7020.4	18874.66
7021.2	18961.41
7022	19032.05
7022.8	18067.07
7023.6	17115.5
7024.4	16806.17
7025.2	17478.38
7026	18225.66
7026.8	17778.56
7027.6	17204.43
7028.4	17505.96
7029.2	17306.53
7030	17607.5
7030.8	17449.62
7031.6	17587.14
7032.4	17301.59
7033.2	17450.1
7034	17394.14
7034.8	17090.17
7035.6	17151.69
7036.4	17650.16
7037.2	17394.69
7038	16121.25
7038.8	15707.52
7039.6	16517.4
7040.4	17484.2
7041.2	18244.48
7042	18350.23
7042.8	18440.82
7043.6	18704.39
7044.4	18319.45
7045.2	17712.95
7046	18398.66
7046.8	18581.13
7047.6	18679.1
7048.4	18972.11
7049.2	18938.39
7050	19036.81
7050.8	18761.85
7051.6	18790.97
7052.4	18135.95
7053.2	17565.23
7054	18151.65
7054.8	19172.96
7055.6	19003.94
7056.4	18730.92
7057.2	18898.54
7058	18595.42
7058.8	18643.84
7059.6	18187.43
7060.4	17494.31
7061.2	18012.21
7062	18544.3
7062.8	18543.21
7063.6	18433.95
7064.4	18997.65
7065.2	18630.88
7066	17724.38
7066.8	17338.28
7067.6	17007.17
7068.4	16254.36
7069.2	16464.85
7070	17556.66
7070.8	17852.45
7071.6	17990.56
7072.4	17838.44
7073.2	18570.23
7074	18580.61
7074.8	18495.03
7075.6	18597.63
7076.4	18516.29
7077.2	18714.08
7078	18815.26
7078.8	18929.72
7079.6	18977.38
7080.4	19367.6
7081.2	19353.36
7082	19355.85
7082.8	18928.96
7083.6	18149.98
7084.4	17353.36
7085.2	16618.75
7086	18082.92
7086.8	18168.31
7087.6	18031.67
7088.4	18256.69
7089.2	18226.34
7090	17697.38
7090.8	17301.38
7091.6	17861.2
7092.4	18119.91
7093.2	17574.27
7094	18360.74
7094.8	18656.16
7095.6	18222.41
7096.4	18537.99
7097.2	18584.8
7098	18607.05
7098.8	18990.28
7099.6	18822.04
7100.4	18602.34
7101.2	18473.76
7102	18256.94
7102.8	18165.19
7103.6	18146.46
7104.4	18394.71
7105.2	18428.16
7106	18069.35
7106.8	17728.34
7107.6	17018.67
7108.4	17358.08
7109.2	17642.43
7110	17450.71
7110.8	17028.88
7111.6	16779.92
7112.4	16919.48
7113.2	17216.32
7114	17546.63
7114.8	17359.33
7115.6	17066.34
7116.4	17346.74
7117.2	17277.48
7118	17141.62
7118.8	17070.47
7119.6	16940.53
7120.4	16744.24
7121.2	17362.4
7122	16648.11
7122.8	15971.02
7123.6	17400.59
7124.4	17262.77
7125.2	16915.4
7126	16612.09
7126.8	16713.97
7127.6	16336.25
7128.4	16554.56
7129.2	16815.85
7130	16230.87
7130.8	15640.88
7131.6	15652.34
7132.4	16596.16
7133.2	16431.19
7134	17047.64
7134.8	17458.46
7135.6	17141.66
7136.4	17289.43
7137.2	17888.04
7138	17937.25
