Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
6820.4	8329.33
6821.2	8469.14
6822	8625.13
6822.8	8808
6823.6	9132.64
6824.4	8969.45
6825.2	8734.27
6826	8719.56
6826.8	8905.97
6827.6	8751.71
6828.4	8477.36
6829.2	8167.83
6830	8526.91
6830.8	8668.29
6831.6	8938.56
6832.4	9107.23
6833.2	8907.48
6834	8731.05
6834.8	8910.25
6835.6	8873.52
6836.4	9054.91
6837.2	8625.17
6838	8493.53
6838.8	8518.08
6839.6	8186.39
6840.4	7891.56
6841.2	7965.9
6842	7497.73
6842.8	7746.13
6843.6	7845.53
6844.4	7953.74
6845.2	8431.86
6846	8435.46
6846.8	8341.49
6847.6	8440.58
6848.4	8525.74
6849.2	8371.06
6850	8416.04
6850.8	8409.1
6851.6	8302.69
6852.4	8486.63
6853.2	8685.32
6854	8639.39
6854.8	8136.16
6855.6	7484.73
6856.4	7832.61
6857.2	8256.08
6858	8009.1
6858.8	8167.09
6859.6	8549.8
6860.4	8158.11
6861.2	7914.81
6862	7623.15
6862.8	7636.26
6863.6	8335.8
6864.4	8496.91
6865.2	8650.42
6866	8548.62
6866.8	8085.78
6867.6	6588.5
6868.4	5510.32
6869.2	5559.11
6870	6120.88
6870.8	6307.47
6871.6	6324.8
6872.4	6216.05
6873.2	6083.06
6874	6573.24
6874.8	6726.33
6875.6	6900.6
6876.4	6827.87
6877.2	6997.48
6878	7453.08
6878.8	7854.14
6879.6	7514.19
6880.4	7721.5
6881.2	8249.31
6882	8229.84
6882.8	7951.33
6883.6	7545.03
6884.4	7837.04
6885.2	8340.85
6886	7474.83
6886.8	7101.03
6887.6	7604.28
6888.4	8081.76
6889.2	7475
6890	7222.71
6890.8	7774.29
6891.6	8418
6892.4	7608.81
6893.2	6982.94
6894	7450.65
6894.8	8060.03
6895.6	7658.36
6896.4	7061.45
6897.2	7262.52
6898	8182.85
6898.8	8306.96
6899.6	7976.08
6900.4	7311.54
6901.2	7223.39
6902	8042.46
6902.8	8441.08
6903.6	8059.9
6904.4	7604.46
6905.2	7405.43
6906	7719.5
6906.8	7872.61
6907.6	8299.23
6908.4	7765.46
6909.2	7370.39
6910	7523.04
6910.8	8057.62
6911.6	7986.53
6912.4	7891.67
6913.2	7594.67
6914	7070.21
6914.8	7002.26
6915.6	7717.97
6916.4	8267.96
6917.2	7828.32
6918	7715.33
6918.8	7600.12
6919.6	8033.97
6920.4	8561.38
6921.2	8442.5
6922	8389.56
6922.8	8264.07
6923.6	7855.29
6924.4	7507.35
6925.2	7606.97
6926	7512.61
6926.8	7461.56
6927.6	7932
6928.4	7878.11
6929.2	7573.21
6930	7662.7
6930.8	7747.07
6931.6	7823.33
6932.4	7851.01
6933.2	7730.71
6934	7394.44
6934.8	7982.94
6935.6	8157.61
