Stellar Spectroscopy - BD+00 4814	
	
Date of Observation:	8/3/2010
Star Observed:	BD+00 4814
Spectral Class:	M0
	
Wavelength (A)	Intensity (Counts)
6958	8690.081055
6958.8	8616.116211
6959.6	8456.577148
6960.4	8662.65625
6961.2	8588.710938
6962	8569.053711
6962.8	8760.095703
6963.6	8903.84082
6964.4	9061.969727
6965.2	8946.9375
6966	8905.097656
6966.8	8990.160156
6967.6	9192.49707
6968.4	9371.254883
6969.2	9390.537109
6970	9076.948242
6970.8	8814.967773
6971.6	8722.750977
6972.4	9033.295898
6973.2	9280.802734
6974	9167.523438
6974.8	9100.987305
6975.6	8909.77832
6976.4	8811.452148
6977.2	8810.387695
6978	8261.34082
6978.8	7679.101562
6979.6	7862.594727
6980.4	8594.791992
6981.2	8822.022461
6982	8959.647461
6982.8	9023.15625
6983.6	9168.270508
6984.4	9045.082031
6985.2	9356.46875
6986	9119.645508
6986.8	8918.730469
6987.6	9118.381836
6988.4	8743.560547
6989.2	8151.27002
6990	8189.141113
6990.8	8201.47168
6991.6	8800.806641
6992.4	9094.005859
6993.2	9126.154297
6994	8934.50293
6994.8	8564.700195
6995.6	9385.730469
6996.4	9985.881836
6997.2	8992.442383
6998	9092.873047
6998.8	9002.853516
6999.6	8643.676758
7000.4	8811.90332
7001.2	9159.839844
7002	9112.820312
7002.8	9656.80957
7003.6	9489.833008
7004.4	8900.456055
7005.2	8456.363281
7006	9018.083984
7006.8	9150.954102
7007.6	9198.745117
7008.4	9124.095703
7009.2	9433.358398
7010	9869.887695
7010.8	9281.695312
7011.6	8923.948242
7012.4	9583.669922
7013.2	9844.513672
7014	10024.53125
7014.8	9605.685547
7015.6	9031.808594
7016.4	8187.444336
7017.2	8687.068359
7018	9887.225586
7018.8	10063.66211
7019.6	10052.07031
7020.4	9720.78125
7021.2	9785.794922
7022	9553.363281
7022.8	9024.606445
7023.6	8523.9375
7024.4	8645.044922
7025.2	8693.524414
7026	9098.485352
7026.8	9106.160156
7027.6	8597.067383
7028.4	8898.723633
7029.2	9348.750977
7030	9499.93457
7030.8	9641.735352
7031.6	9794.760742
7032.4	9571.571289
7033.2	9412.175781
7034	9460.269531
7034.8	9784.931641
7035.6	9611.962891
7036.4	9732.424805
7037.2	9561.033203
7038	8811.254883
7038.8	8400.003906
7039.6	8630.74707
7040.4	9532.879883
7041.2	10029.88086
7042	10115.99707
7042.8	10159.45508
7043.6	10150.99023
7044.4	9703.400391
7045.2	9395.942383
7046	9654.861328
7046.8	9775.202148
7047.6	10066.67481
7048.4	10044.99707
7049.2	10167.83398
7050	9882.376953
7050.8	9436.707031
7051.6	9605.750977
7052.4	9139.124023
7053.2	8561.666016
7054	8261.738281
7054.8	6509.691895
7055.6	6392.361328
7056.4	7153.910156
7057.2	7985.804688
7058	8438.707031
7058.8	8352.365234
7059.6	7806.745117
7060.4	7222.737305
7061.2	7107.29541
7062	7158.121094
7062.8	7072.366211
7063.6	6858.9375
7064.4	7104.931152
7065.2	6911.415527
7066	6640.145996
7066.8	6716.01123
7067.6	6951.756836
7068.4	6735.618652
7069.2	6728.209473
7070	7244.605469
7070.8	7584.21582
7071.6	7950.553711
7072.4	7999.785156
7073.2	8001.318359
7074	8028.53418
7074.8	8148.663086
7075.6	8300.553711
7076.4	8258.441406
7077.2	8373.491211
7078	8237.323242
7078.8	8206.558594
7079.6	8403.366211
7080.4	8514.943359
7081.2	8573.585938
7082	8687.057617
7082.8	8391.78125
7083.6	8143.429688
7084.4	7705.469238
7085.2	7318.965332
7086	8195.099609
7086.8	8161.484375
7087.6	6669.966797
7088.4	5302.649414
7089.2	5399.878906
7090	5773.395996
7090.8	6335.340332
7091.6	6731.105957
7092.4	6861.720703
7093.2	6242.285645
7094	6206.193359
7094.8	6155.818359
7095.6	6020.773926
7096.4	6051.633301
7097.2	6204.612305
7098	6235.443848
7098.8	6369.054688
7099.6	6644.535156
7100.4	6756.949707
7101.2	6450.303711
7102	6514.164062
7102.8	6272.201172
7103.6	5958.060547
7104.4	6202.341309
7105.2	6552.183594
7106	6633.110352
7106.8	6535.767578
7107.6	6724.047852
7108.4	6793.010742
7109.2	6912.915039
7110	6798.961426
7110.8	6497.418457
7111.6	6250.491699
7112.4	6430.96582
7113.2	6881.912598
7114	6933.585449
7114.8	6845.806152
7115.6	6718.084961
7116.4	6981.495117
7117.2	7205.734863
7118	7278.496582
7118.8	7367.441895
7119.6	7314.708984
7120.4	7590.549805
7121.2	7467.02002
7122	7314.661133
7122.8	7043.662109
7123.6	7273.169922
7124.4	7220.869141
7125.2	6140.649414
7126	4969.060547
7126.8	4652.853027
7127.6	5123.018555
7128.4	5532.422363
7129.2	5824.544922
7130	5737.408203
7130.8	5477.39209
7131.6	5270.782227
7132.4	5268.701172
7133.2	5369.869141
7134	5436.782227
7134.8	5834.243652
7135.6	5638.800293
7136.4	5591.288574
7137.2	5698.21875
7138	5656.269043
7138.8	5486.92041
7139.6	5530.588379
7140.4	5646.053223
7141.2	5948.412598
7142	6097.340332
7142.8	5867.387695
7143.6	6010.508301
7144.4	6074.338379
7145.2	5841.726074
7146	5918.268066
7146.8	5953.539551
7147.6	5802.643066
7148.4	5663.353516
7149.2	5618.95752
7150	5653.564941
7150.8	5588.693848
7151.6	5470.243652
7152.4	5697.019531
7153.2	5857.566895
7154	6394.707031
7154.8	6408.807129
7155.6	6255.719727
7156.4	6701.196777
7157.2	6943.689453
7158	6814.916992
7158.8	6151.044922
7159.6	5672.17041
7160.4	5794.695312
7161.2	5857.530273
7162	6034.99707
7162.8	5933.973633
7163.6	5743.692871
7164.4	5410.501953
7165.2	5221.380371
7166	5304.729492
7166.8	5441.212891
7167.6	5151.762207
7168.4	5261.752441
7169.2	5432.242676
7170	5351.895508
7170.8	5470.324707
7171.6	5722.133789
7172.4	5801.831055
7173.2	5323.856934
7174	5377.812012
7174.8	5863.723633
7175.6	6169.487305
7176.4	5755.729492
7177.2	5061.30957
7178	5206.503906
7178.8	5927.641602
7179.6	6153.094238
7180.4	6048.165527
7181.2	5429.548828
7182	5173.663086
7182.8	5857.597168
7183.6	6138.616211
7184.4	5719.262695
7185.2	5351.095703
7186	5288.250977
7186.8	4710.646973
7187.6	4596.985352
7188.4	5191.206055
7189.2	5581.81543
7190	5817.657227
7190.8	5803.127441
7191.6	5142.078125
7192.4	5027.006348
7193.2	5151.287598
7194	5153.647949
7194.8	5484.51123
7195.6	5732.937012
7196.4	5921.543945
7197.2	5348.000488
7198	4642.163574
7198.8	5033.86377
7199.6	5345.615234
7200.4	4781.779785
7201.2	4299.37207
7202	4474.101562
7202.8	5175.535156
7203.6	5288.414062
7204.4	4828.70166
7205.2	5217.619141
7206	5174.633301
7206.8	4679.758789
7207.6	4773.243652
7208.4	5165.109863
7209.2	5079.483398
7210	5009.260742
7210.8	5544.79248
7211.6	5882.03418
7212.4	5787.578613
7213.2	5459.932617
7214	5467.316406
7214.8	5515.259277
7215.6	5354.37793
7216.4	4881.250488
7217.2	4926.068848
7218	5364.735352
7218.8	5557.356934
7219.6	5331.681152
7220.4	5413.92627
7221.2	5398.881348
7222	5354.079102
7222.8	5244.844238
7223.6	4828.230469
7224.4	5075.548828
